澳门频道,#genre#
CCTV5+[1920*1080][1920*1080][1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225649/index.m3u8
北京卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
重庆卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225692/index.m3u8
纯享4k[3840*2160],http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8
东方卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
东南卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
广东卫视蓝光[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225742/index.m3u8
广东卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8
黑龙江卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225690/index.m3u8
黑龙江卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
黑龙江卫视蓝光[1920*1080],http://39.134.116.30:8080/PLTV/88888910/224/3221225690/index.m3u8
江苏卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
江西卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
江西卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
辽宁卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8
辽宁卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
山东卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
深圳卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8
天津卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
天津卫视蓝光[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8
云南卫视蓝光[768*576],http://39.135.138.59:18890/PLTV/88888910/224/3221225664/index.m3u8
明星大片[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225716/index.m3u8
西藏卫视[768*576],http://39.135.138.58:18890/PLTV/88888910/224/3221225723/index.m3u8
西藏卫视[768*576],http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
西藏卫视[768*576],http://39.135.138.59:18890/PLTV/88888910/224/3221225723/index.m3u8
西藏卫视[768*576],http://117.169.120.140:8080/live/xizangstv/.m3u8
安徽卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
安徽卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
北京卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225673/index.m3u8
北京卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225673/index.m3u8
北京卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
北京卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225600/index.m3u8?fmt=ts2hls
北京卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225674/index.m3u8
北京卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225674/index.m3u8
北京卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225673/index.m3u8
北京卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225673/index.m3u8
东方卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225659/index.m3u8
东方卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225658/index.m3u8
东方卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225659/index.m3u8
东方卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225658/index.m3u8
东方卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
甘肃卫视[768*576],http://39.135.138.60:18890/PLTV/88888910/224/3221225724/index.m3u8
甘肃卫视[768*576],http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
甘肃卫视[768*576],http://39.135.138.59:18890/PLTV/88888910/224/3221225724/index.m3u8
广东卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225742/index.m3u8
广东卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225597/index.m3u8?fmt=ts2hls
广东卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225701/index.m3u8
广东卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225742/index.m3u8
广东卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
广东卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225701/index.m3u8
黑龙江卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225736/index.m3u8
黑龙江卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225690/index.m3u8
黑龙江卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225736/index.m3u8
黑龙江卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225690/index.m3u8
黑龙江卫视[1920*1080],http://183.207.249.36:80/PLTV/4/224/3221227323/index.m3u8?
湖北卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225699/index.m3u8
湖北卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225699/index.m3u8
湖北卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225699/index.m3u8
湖北卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
湖北卫视[1920*1080],http://117.169.120.140:8080/live/hdhubeistv/.m3u8
湖北卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225699/index.m3u8
湖北卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225740/index.m3u8
湖南卫视[1920*1080],http://219.151.31.37/liveplay-kk.rtxapp.com/live/program/live/hnwshd/4000000/mnf.m3u8?dt_dapp=1
湖南卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225704/index.m3u8
湖南卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225704/index.m3u8
湖南卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8
江苏卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8
辽宁卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225735/index.m3u8
辽宁卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225696/index.m3u8
辽宁卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225696/index.m3u8
辽宁卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225735/index.m3u8
辽宁卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225696/index.m3u8
内蒙古卫视[768*576],http://39.135.138.59:18890/PLTV/88888910/224/3221225667/index.m3u8
内蒙古卫视[768*576],http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8
宁夏卫视[785*576],http://39.135.138.59:18890/PLTV/88888910/224/3221225726/index.m3u8
宁夏卫视[785*576],http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
山东卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225738/index.m3u8
山东卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
山东卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225738/index.m3u8
山东卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225484/index.m3u8?fmt=ts2hls
山东卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225697/index.m3u8
陕西卫视[768*576],http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
陕西卫视[768*576],http://39.135.138.59:18890/PLTV/88888910/224/3221225729/index.m3u8
深圳卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225700/index.m3u8
天津卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225698/index.m3u8
天津卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225739/index.m3u8
天津卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225698/index.m3u8
天津卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225485/index.m3u8?fmt=ts2hls
天津卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225698/index.m3u8
浙江卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225703/index.m3u8
浙江卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225744/index.m3u8
浙江卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
浙江卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
浙江卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8
浙江卫视[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel15/1080p.m3u8
浙江卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225703/index.m3u8
浙江卫视[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8
浙江卫视[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225744/index.m3u8
浙江卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225703/index.m3u8
浙江卫视[1920*1080],http://183.207.249.34:80/PLTV/4/224/3221227393/index.m3u8?
江西卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/index.m3u8
江西卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225746/index.m3u8
江西卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225705/index.m3u8
东南卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225657/index.m3u8
东南卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225657/index.m3u8
东南卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225585/index.m3u8?fmt=ts2hls
东南卫视[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225657/index.m3u8
美国频道,#genre#
ABC News Live 1 (720p),https://abcnews-streams.akamaized.net/hls/live/2023560/abcnews1/master.m3u8
ABC News Live 2 (720p),https://abcnews-streams.akamaized.net/hls/live/2023561/abcnews2/master.m3u8
ABC News Live 3 (720p),https://abcnews-streams.akamaized.net/hls/live/2023562/abcnews3/master.m3u8
ABC News Live 4 (720p),https://abcnews-streams.akamaized.net/hls/live/2023563/abcnews4/master.m3u8
ABC News Live 5 (720p),https://abcnews-streams.akamaized.net/hls/live/2023564/abcnews5/master.m3u8
ABC News Live 6 (720p),https://abcnews-streams.akamaized.net/hls/live/2023565/abcnews6/master.m3u8
ABC News Live 7 (720p),https://abcnews-streams.akamaized.net/hls/live/2023566/abcnews7/master.m3u8
ABC News Live 8 (720p),https://abcnews-streams.akamaized.net/hls/live/2023567/abcnews8/master.m3u8
ABC News Live 9 (720p),https://abcnews-streams.akamaized.net/hls/live/2023568/abcnews9/master.m3u8
ABC News Live 10 (720p),https://abcnews-streams.akamaized.net/hls/live/2023569/abcnews10/master.m3u8
ABC 4 Seattle WA (KOMO-TV) (720p),https://content.uplynk.com/2c88dfe19e1447e6a6aa27e8e143a140.m3u8
ABC 7 Denver CO (KMGH) (720p),https://content.uplynk.com/channel/64ca339f04964a5e961c3207a7771bf1.m3u8
ABC 7 Los Angeles CA (KABC-TV) (720p),https://content.uplynk.com/channel/ext/2118d9222a87420ab69223af9cfa0a0f/kabc_24x7_news.m3u8
ABC 7 Washington DC (WJLA) (720p),https://content.uplynk.com/40cec2bf074c40f08932da03ab4510be.m3u8
ABC 9 Orlando FL (WFTV) (720p),https://d3qm7vzp07vxse.cloudfront.net/v1/master/77872db67918a151b697b5fbc23151e5765767dc/cmg_PROD_cmg-tv-10070_fe1f5f6c-cd0b-4993-a4a4-6db66be4f313_LE/in/cmg-wftvtv-hls-v3/live.m3u8
ABC 13 Las Vegas NV (KTNV) (720p),https://content.uplynk.com/channel/39919d3f7a074eefa8bf579214e952f9.m3u8
ABC 15 Phoenix AZ (KNXV-TV) (720p),https://content.uplynk.com/channel/9deaf22aaa33461f9cac22e030ed00ec.m3u8
American Horrors (480p),http://170.178.189.66:1935/live/Stream1/playlist.m3u8
Ameritrade (1080p) [Not 24/7],https://tdameritrade-vizio.amagi.tv/playlist.m3u8
CBS 12 West Palm Beach FL (WPEC) (720p),https://content.uplynk.com/channel/0123b306191a4307a31b9fb573213fd3.m3u8
CTN (360p),http://rtmp.ottdemo.rrsat.com/ctntv/ctntvmulti.smil/playlist.m3u8
CTN Lifestyle (480p),https://ctntv.getstreamhosting.com:1936/Lifestyle/Lifestyle/playlist.m3u8
NASA TV Media (720p),https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master.m3u8
NASA TV Public (720p),https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master.m3u8
Fuel TV (1080p) [Not 24/7],http://fueltv-fueltv-14-nl.samsung.wurl.com/manifest/playlist.m3u8
Fun Roads (404p),http://104.143.4.5:2080/funroads.m3u8
Gainesville Community 12TV (Gainesville FL) (720p),https://lin10.isilive.ca/live/gainesville/live/index.m3u8
Galicia TV América (720p),http://america-crtvg.flumotion.com/playlist.m3u8
Galveston County TV (720p) [Not 24/7],https://stream.swagit.com/live-edge/galvestontx/smil:hd-16x9-1-b/playlist.m3u8
Galxy TV (720p),https://content.uplynk.com/channel/f467430e4a8e49a59ff3183cf51092b2.m3u8
Game Show Network East (720p) [Not 24/7],http://n1.klowdtv.net/live2/gsn_720p/chunks.m3u8
Ganj e Hozour TV (720p),http://topfi.ios.internapcdn.net/topfi/live_1/Test/Test.m3u8
GFN TV (720p) [Not 24/7],https://d3jxchypmk8fja.cloudfront.net/v1/master/9d062541f2ff39b5c0f48b743c6411d25f62fc25/GFNTV-Plex/169.m3u8
Glendale 11 AZ (360p),https://stream.swagit.com/live-edge/glendaleaz/smil:std-4x3-1-a/playlist.m3u8
Global Christian Network America (GCN) (720p),http://liveen24-manminglobal3.ktcdn.co.kr/liveen24/gcnus_1300k.stream/playlist.m3u8
